43.8915,-79.2573
43.8862,-79.2678
43.8908,-79.2724
43.8961,-79.2650
43.8976,-79.2563
43.8897,-79.2495
43.8848,-79.2527
43.8794,-79.2561
43.8749,-79.2635
43.8752,-79.2746
43.8814,-79.2811
43.8883,-79.2815
43.8949,-79.2786
43.8967,-79.2843
43.8919,-79.2887
43.8873,-79.2898
43.8817,-79.2897
43.8772,-79.2849
43.8719,-79.2837
43.8685,-79.2768
43.8718,-79.2687
43.8751,-79.2611
43.8803,-79.2590
43.8792,-79.2705
43.8704,-79.2761
43.8670,-79.2718
43.8688,-79.2666
43.8727,-79.2607
43.8777,-79.2584
43.8806,-79.2634
43.8839,-79.2691
43.8786,-79.2736
43.8729,-79.2766
43.8678,-79.2744
43.8662,-79.2675
43.8694,-79.2608
43.8741,-79.2562
43.8799,-79.2535
43.8833,-79.2583
43.8793,-79.2654
43.8722,-79.2700
43.8680,-79.2671
43.8703,-79.2624
43.8744,-79.2593
43.8785,-79.2628
43.8809,-79.2682
43.8811,-79.2752
43.8761,-79.2793
